[LoggerStatus.SUCCESS] | [+] Starting assembly. Options (False, False, False, False, False) | Sat Jul 13 10:19:39 2024
[LoggerStatus.SUCCESS] | [+] Starting assembly. Options (True, True, True, True, False) | Sat Jul 13 10:20:31 2024
[LoggerStatus.SUCCESS] | [+] Create default directories | Sat Jul 13 10:20:31 2024
[LoggerStatus.SUCCESS] | [+] Copy Dotfiles & GTK | Sat Jul 13 10:20:31 2024
[LoggerStatus.SUCCESS] | [+] Updates Enabled | Sat Jul 13 10:20:32 2024
[LoggerStatus.SUCCESS] | [+] Installed BSPWM Dependencies | Sat Jul 13 10:20:34 2024
[LoggerStatus.SUCCESS] | Installed: tumbler | Sat Jul 13 10:21:03 2024
[LoggerStatus.SUCCESS] | Installed: ffmpegthumbnailer | Sat Jul 13 10:21:20 2024
[LoggerStatus.SUCCESS] | Installed: lsd | Sat Jul 13 10:21:21 2024
[LoggerStatus.SUCCESS] | Installed: alacritty | Sat Jul 13 10:21:22 2024
[LoggerStatus.SUCCESS] | Installed: bat | Sat Jul 13 10:21:24 2024
[LoggerStatus.SUCCESS] | Installed: brightnessctl | Sat Jul 13 10:21:25 2024
[LoggerStatus.SUCCESS] | Installed: calc | Sat Jul 13 10:21:26 2024
[LoggerStatus.SUCCESS] | Installed: automake | Sat Jul 13 10:21:26 2024
[LoggerStatus.SUCCESS] | Installed: blueman | Sat Jul 13 10:21:33 2024
[LoggerStatus.SUCCESS] | Installed: bluez | Sat Jul 13 10:21:34 2024
[LoggerStatus.SUCCESS] | Installed: bluez-utils | Sat Jul 13 10:21:35 2024
[LoggerStatus.SUCCESS] | Installed: dunst | Sat Jul 13 10:21:36 2024
[LoggerStatus.SUCCESS] | Installed: fakeroot | Sat Jul 13 10:21:36 2024
[LoggerStatus.SUCCESS] | Installed: feh | Sat Jul 13 10:21:37 2024
[LoggerStatus.SUCCESS] | Installed: firefox | Sat Jul 13 10:21:44 2024
[LoggerStatus.SUCCESS] | Installed: fish | Sat Jul 13 10:21:45 2024
[LoggerStatus.SUCCESS] | Installed: dpkg | Sat Jul 13 10:21:46 2024
[LoggerStatus.SUCCESS] | Installed: gcc | Sat Jul 13 10:21:47 2024
[LoggerStatus.SUCCESS] | Installed: gedit | Sat Jul 13 10:21:50 2024
[LoggerStatus.SUCCESS] | Installed: git | Sat Jul 13 10:21:50 2024
[LoggerStatus.SUCCESS] | Installed: gnu-netcat | Sat Jul 13 10:21:51 2024
[LoggerStatus.SUCCESS] | Installed: htop | Sat Jul 13 10:21:52 2024
[LoggerStatus.SUCCESS] | Installed: btop | Sat Jul 13 10:21:53 2024
[LoggerStatus.SUCCESS] | Installed: nano | Sat Jul 13 10:21:54 2024
[LoggerStatus.SUCCESS] | Installed: lxappearance | Sat Jul 13 10:21:55 2024
[LoggerStatus.SUCCESS] | Installed: mat2 | Sat Jul 13 10:21:57 2024
[LoggerStatus.SUCCESS] | Installed: mpd | Sat Jul 13 10:22:03 2024
[LoggerStatus.SUCCESS] | Installed: mpv | Sat Jul 13 10:22:05 2024
[LoggerStatus.SUCCESS] | Installed: thunar | Sat Jul 13 10:22:07 2024
[LoggerStatus.SUCCESS] | Installed: ncmpcpp | Sat Jul 13 10:22:09 2024
[LoggerStatus.SUCCESS] | Installed: neofetch | Sat Jul 13 10:22:10 2024
[LoggerStatus.SUCCESS] | Installed: network-manager-applet | Sat Jul 13 10:22:12 2024
[LoggerStatus.SUCCESS] | Installed: nitrogen | Sat Jul 13 10:22:15 2024
[LoggerStatus.SUCCESS] | Installed: pamixer | Sat Jul 13 10:22:15 2024
[LoggerStatus.SUCCESS] | Installed: papirus-icon-theme | Sat Jul 13 10:22:24 2024
[LoggerStatus.SUCCESS] | Installed: pavucontrol | Sat Jul 13 10:22:28 2024
[LoggerStatus.SUCCESS] | Installed: polybar | Sat Jul 13 10:22:30 2024
